item_id,demand,org,code,year,month,day
2,250,Asia,"",2015,1,1
2,30,NE Europe,"",2015,1,1
2,200,INTL Other,"",2015,2,1
2,20,SEMEA,"",2015,2,1
2,37,Americas,"",2015,3,1
2,70,Asia,"",2015,3,1
2,30,INTL Other,"",2015,3,1
2,75,SEMEA,"",2015,3,1
2,6,Americas,"",2015,4,1
2,70,Asia,"",2015,4,1
2,50,INTL Other,"",2015,4,1
2,150,NE Europe,"",2015,4,1
2,300,SEMEA,"",2015,4,1
2,5,Americas,"",2015,5,1
2,45,Asia,"",2015,5,1
2,110,SEMEA,"",2015,5,1
2,150,Americas,"",2015,6,1
2,162,Asia,"",2015,6,1
2,30,INTL Other,"",2015,6,1
2,20,SEMEA,"",2015,6,1
2,50,SEMEA,"",2015,7,1
2,50,Asia,"",2015,8,1
2,10,NE Europe,"",2015,8,1
2,83,SEMEA,"",2015,8,1
2,100,Asia,"",2015,9,1
2,260,SEMEA,"",2015,9,1
2,38,Americas,"",2015,10,1
2,160,Asia,"",2015,10,1
2,54,INTL Other,"",2015,10,1
2,110,SEMEA,"",2015,10,1
2,25,Asia,"",2015,11,1
2,5,China,"",2015,11,1
2,10,INTL Other,"",2015,11,1
2,125,Asia,"",2015,12,1
2,1,INTL Other,"",2015,12,1
2,55,SEMEA,"",2015,12,1
2,25,Asia,"",2016,1,1
2,220,INTL Other,"",2016,1,1
2,75,SEMEA,"",2016,1,1
2,51,Americas,"",2016,2,1
2,70,Asia,"",2016,2,1
2,30,INTL Other,"",2016,2,1
2,165,SEMEA,"",2016,2,1
2,105,Asia,"",2016,3,1
2,15,INTL Other,"",2016,3,1
2,33,NE Europe,"",2016,3,1
2,462,SEMEA,"",2016,3,1
2,100,Americas,"",2016,4,1
2,30,INTL Other,"",2016,4,1
2,20,NE Europe,"",2016,4,1
2,25,SEMEA,"",2016,4,1
2,25,Asia,"",2016,5,1
2,48,INTL Other,"",2016,5,1
2,95,SEMEA,"",2016,5,1
2,75,Asia,"",2016,6,1
2,70,INTL Other,"",2016,6,1
2,30,SEMEA,"",2016,6,1
2,300,Asia,"",2016,7,1
